,year,age,suicides_no
0,1979,15-24 years,131.25892857142858
1,1979,25-34 years,153.11607142857142
2,1979,35-54 years,255.48214285714286
3,1979,5-14 years,5.669642857142857
4,1979,55-74 years,207.76785714285714
5,1979,75+ years,75.1875
6,1980,15-24 years,172.544776119403
7,1980,25-34 years,219.08955223880596
8,1980,35-54 years,399.44029850746267
9,1980,5-14 years,7.455223880597015
10,1980,55-74 years,257.95522388059703
11,1980,75+ years,89.3955223880597
12,1981,15-24 years,151.74698795180723
13,1981,25-34 years,207.0421686746988
14,1981,35-54 years,385.578313253012
15,1981,5-14 years,7.144578313253012
16,1981,55-74 years,240.97590361445782
17,1981,75+ years,79.8855421686747
18,1982,15-24 years,160.69230769230768
19,1982,25-34 years,227.7948717948718
20,1982,35-54 years,416.77564102564105
21,1982,5-14 years,7.4423076923076925
22,1982,55-74 years,268.34615384615387
23,1982,75+ years,91.33974358974359
24,1983,15-24 years,116.37974683544304
25,1983,25-34 years,142.1139240506329
26,1983,35-54 years,243.49367088607596
27,1983,5-14 years,6.284810126582278
28,1983,55-74 years,191.6139240506329
29,1983,75+ years,74.9873417721519
30,1984,15-24 years,130.17857142857142
31,1984,25-34 years,160.69285714285715
32,1984,35-54 years,283.2857142857143
33,1984,5-14 years,7.085714285714285
34,1984,55-74 years,220.0857142857143
35,1984,75+ years,87.43571428571428
36,1985,15-24 years,142.02777777777777
37,1985,25-34 years,207.51666666666668
38,1985,35-54 years,380.2611111111111
39,1985,5-14 years,8.011111111111111
40,1985,55-74 years,264.68333333333334
41,1985,75+ years,94.90555555555555
42,1986,15-24 years,136.71666666666667
43,1986,25-34 years,192.20555555555555
44,1986,35-54 years,348.55555555555554
45,1986,5-14 years,8.511111111111111
46,1986,55-74 years,262.56666666666666
47,1986,75+ years,102.69444444444444
48,1987,15-24 years,117.34042553191489
49,1987,25-34 years,179.61170212765958
50,1987,35-54 years,330.72872340425533
51,1987,5-14 years,7.76063829787234
52,1987,55-74 years,254.02659574468086
53,1987,75+ years,101.82978723404256
54,1988,15-24 years,120.0625
55,1988,25-34 years,187.8693181818182
56,1988,35-54 years,344.7556818181818
57,1988,5-14 years,8.482954545454545
58,1988,55-74 years,258.77840909090907
59,1988,75+ years,110.82386363636364
60,1989,15-24 years,122.375
61,1989,25-34 years,194.5681818181818
62,1989,35-54 years,357.82954545454544
63,1989,5-14 years,8.403409090909092
64,1989,55-74 years,262.5738636363636
65,1989,75+ years,111.3125
66,1990,15-24 years,130.9787234042553
67,1990,25-34 years,198.7287234042553
68,1990,35-54 years,369.59574468085106
69,1990,5-14 years,8.590425531914894
70,1990,55-74 years,266.25531914893617
71,1990,75+ years,118.97340425531915
72,1991,15-24 years,132.2087912087912
73,1991,25-34 years,202.4010989010989
74,1991,35-54 years,388.7637362637363
75,1991,5-14 years,8.807692307692308
76,1991,55-74 years,275.25824175824175
77,1991,75+ years,117.5934065934066
78,1992,15-24 years,144.53932584269663
79,1992,25-34 years,219.5505617977528
80,1992,35-54 years,435.9438202247191
81,1992,5-14 years,10.0561797752809
82,1992,55-74 years,300.9831460674157
83,1992,75+ years,119.82584269662921
84,1993,15-24 years,148.75
85,1993,25-34 years,229.35227272727272
86,1993,35-54 years,474.27272727272725
87,1993,5-14 years,10.664772727272727
88,1993,55-74 years,319.97727272727275
89,1993,75+ years,119.5
90,1994,15-24 years,153.0483870967742
91,1994,25-34 years,227.747311827957
92,1994,35-54 years,473.3817204301075
93,1994,5-14 years,10.096774193548388
94,1994,55-74 years,316.2043010752688
95,1994,75+ years,113.22043010752688
96,1995,15-24 years,155.30729166666666
97,1995,25-34 years,222.86458333333334
98,1995,35-54 years,471.5520833333333
99,1995,5-14 years,10.161458333333334
100,1995,55-74 years,311.015625
101,1995,75+ years,109.90625
102,1996,15-24 years,162.08333333333334
103,1996,25-34 years,225.60416666666666
104,1996,35-54 years,481.53125
105,1996,5-14 years,10.1875
106,1996,55-74 years,315.9114583333333
107,1996,75+ years,108.60416666666667
108,1997,15-24 years,156.2020202020202
109,1997,25-34 years,211.6818181818182
110,1997,35-54 years,450.0959595959596
111,1997,5-14 years,9.904040404040405
112,1997,55-74 years,299.62626262626264
113,1997,75+ years,106.43939393939394
114,1998,15-24 years,158.285
115,1998,25-34 years,212.265
116,1998,35-54 years,463.76
117,1998,5-14 years,10.825
118,1998,55-74 years,311.405
119,1998,75+ years,109.855
120,1999,15-24 years,157.18446601941747
121,1999,25-34 years,207.62135922330097
122,1999,35-54 years,473.20873786407765
123,1999,5-14 years,10.29126213592233
124,1999,55-74 years,307.58252427184465
125,1999,75+ years,106.16990291262135
126,2000,15-24 years,145.49553571428572
127,2000,25-34 years,189.63392857142858
128,2000,35-54 years,442.63392857142856
129,2000,5-14 years,9.598214285714286
130,2000,55-74 years,275.28125
131,2000,75+ years,97.64732142857143
132,2001,15-24 years,135.5940170940171
133,2001,25-34 years,175.92735042735043
134,2001,35-54 years,421.0854700854701
135,2001,5-14 years,9.363247863247864
136,2001,55-74 years,255.44444444444446
137,2001,75+ years,92.63247863247864
138,2002,15-24 years,135.3728813559322
139,2002,25-34 years,179.91525423728814
140,2002,35-54 years,424.4194915254237
141,2002,5-14 years,9.203389830508474
142,2002,55-74 years,258.5
143,2002,75+ years,95.98305084745763
144,2003,15-24 years,135.43103448275863
145,2003,25-34 years,180.50862068965517
146,2003,35-54 years,432.125
147,2003,5-14 years,8.482758620689655
148,2003,55-74 years,265.8060344827586
149,2003,75+ years,100.1853448275862
150,2004,15-24 years,128.47391304347826
151,2004,25-34 years,170.02173913043478
152,2004,35-54 years,408.7391304347826
153,2004,5-14 years,8.38695652173913
154,2004,55-74 years,251.64347826086956
155,2004,75+ years,99.03478260869565
156,2005,15-24 years,123.70434782608696
157,2005,25-34 years,166.24347826086955
158,2005,35-54 years,391.47391304347826
159,2005,5-14 years,8.065217391304348
160,2005,55-74 years,249.16086956521738
161,2005,75+ years,98.8391304347826
162,2006,15-24 years,126.7566371681416
163,2006,25-34 years,167.5486725663717
164,2006,35-54 years,391.2079646017699
165,2006,5-14 years,8.119469026548673
166,2006,55-74 years,253.72566371681415
167,2006,75+ years,102.19911504424779
168,2007,15-24 years,129.0681818181818
169,2007,25-34 years,175.71818181818182
170,2007,35-54 years,395.6
171,2007,5-14 years,8.045454545454545
172,2007,55-74 years,261.51363636363635
173,2007,75+ years,108.28636363636363
174,2008,15-24 years,123.61111111111111
175,2008,25-34 years,164.51709401709402
176,2008,35-54 years,375.87606837606836
177,2008,5-14 years,7.384615384615385
178,2008,55-74 years,249.73076923076923
179,2008,75+ years,101.82051282051282
180,2009,15-24 years,120.61570247933884
181,2009,25-34 years,165.8388429752066
182,2009,35-54 years,378.95454545454544
183,2009,5-14 years,7.925619834710743
184,2009,55-74 years,250.44628099173553
185,2009,75+ years,98.21900826446281
186,2010,15-24 years,120.66239316239316
187,2010,25-34 years,166.56410256410257
188,2010,35-54 years,378.84615384615387
189,2010,5-14 years,7.764957264957265
190,2010,55-74 years,258.35042735042737
191,2010,75+ years,103.03846153846153
192,2011,15-24 years,124.3
193,2011,25-34 years,167.76956521739132
194,2011,35-54 years,375.95217391304345
195,2011,5-14 years,8.552173913043479
196,2011,55-74 years,260.3086956521739
197,2011,75+ years,106.47391304347826
198,2012,15-24 years,121.77927927927928
199,2012,25-34 years,168.3108108108108
200,2012,35-54 years,377.1081081081081
201,2012,5-14 years,8.481981981981981
202,2012,55-74 years,266.7432432432432
203,2012,75+ years,112.01351351351352
204,2013,15-24 years,116.9090909090909
205,2013,25-34 years,165.88181818181818
206,2013,35-54 years,373.04545454545456
207,2013,5-14 years,8.886363636363637
208,2013,55-74 years,266.75454545454545
209,2013,75+ years,111.34545454545454
210,2014,15-24 years,120.96634615384616
211,2014,25-34 years,175.3846153846154
212,2014,35-54 years,387.17788461538464
213,2014,5-14 years,9.711538461538462
214,2014,55-74 years,281.0480769230769
215,2014,75+ years,120.8701923076923
216,2015,15-24 years,142.71875
217,2015,25-34 years,206.9625
218,2015,35-54 years,453.69375
219,2015,5-14 years,11.06875
220,2015,55-74 years,339.0625
221,2015,75+ years,145.91875
222,2016,15-24 years,26.12
223,2016,25-34 years,44.06
224,2016,35-54 years,121.72
225,2016,5-14 years,1.92
226,2016,55-74 years,98.26
227,2016,75+ years,37.58
